"Veraphone","","","","","Berlin (576 m.).","Berlin","Germany","52.5","13.4","Veraphone: Berlin (576 m.)."
"L. E. B.","Leeds","","","","Berlin (1300 m.).","Berlin","Germany","52.5","13.4","L. E. B. (Leeds): Berlin (1300 m.)."
"L.405805","","","","","Koenigs-wusterhausen.","Königs Wusterhausen","Germany","52.3","13.6","L.405805: Koenigs-wusterhausen."
"L. A. W. M. A.","","","","","probably WGY, Schenectady.","Schenectady","USA","42.8","-73.9","L. A. W. M. A.: probably WGY, Schenectady."
"Rex","","","","","what language?","","","","","Rex: what language?"
"Toc.P.P.","Woolton","","","","W.L. vague, presumably Hamburg.","Hamburg","Germany","53.5","10.0","Toc.P.P. (Woolton): W.L. vague, presumably Hamburg."
"Ficolax","","","","","probably B.B.C., not advertised.","","","","","Ficolax: probably B.B.C., not advertised."
"Radio Rex","Bradford","","","","presumably amateur.","","","","","Radio Rex (Bradford): presumably amateur."
"J. O. R.","Lidlington","","","","vague, perhaps Nuremberg.","Nuremberg","Germany","49.5","11.1","J. O. R. (Lidlington): vague, perhaps Nuremberg."
"Actina","","","","","San Sebastian.","San Sebastian","Spain","43.3","-1.9","Actina: San Sebastian."
"P. T. T.","Holloway","","","","presumably PTT Toulouse (280 m.).","Toulouse","France","43.6","1.4","P. T. T. (Holloway): presumably PTT Toulouse (280 m.)."
"C. C. C.","Leeds","","","","cannot trace, possibly WGBS (New York).","New York","USA","40.7","-74.0","C. C. C. (Leeds): cannot trace, possibly WGBS (New York)."
"Stylo","","","","","a.m. or p.m.","","","","","Stylo: a.m. or p.m."
"Edinburgh 11a","","","","","yes, Hamburg.","Hamburg","Germany","53.5","10.0","Edinburgh 11a: yes, Hamburg."
"Batteries","Norwich","","","","Radio Paris (test).","Paris","France","48.9","2.4","Batteries (Norwich): Radio Paris (test)."
"Second Detector","","","","","Hamburg.","Hamburg","Germany","53.5","10.0","Second Detector: Hamburg."
"King","","","","","Stoke-on-Trent (306 m.).","Stoke-on-Trent","UK","53.0","-2.2","King: Stoke-on-Trent (306 m.)."
"E. H.","Syston","","","","WGY (Schenectady).","Schenectady","USA","42.8","-73.9","E. H. (Syston): WGY (Schenectady)."
"EWA","Watford","","","","(1) probably Montpellier relay of Radio Toulouse.","Toulouse","France","43.6","1.4","EWA (Watford): (1) probably Montpellier relay of Radio Toulouse: (2) item was advertised, probably German translation."
"EWA","Watford","","","","(2) item was advertised, probably German translation.","","","","","EWA (Watford): (1) probably Montpellier relay of Radio Toulouse: (2) item was advertised, probably German translation."
"Bannock","","","","","Berlin (1300 m.).","Berlin","Germany","52.5","13.4","Bannock: Berlin (1300 m.)."
"St. Peter Port","","","","","Cardiff.","Cardiff","UK","51.5","-3.2","St. Peter Port: Cardiff."
"S. E. C.","","","","","no W.L. given.","","","","","S. E. C.: no W.L. given."
"Shoeburyness (Three Valver)","","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Shoeburyness (Three Valver): Madrid (EAJ7)."
"Night-Fan","","","","","Basta. Prague.","Prague","Czech Republic","50.1","14.4","Night-Fan: Basta. Prague."
"Toby","","","","","Eiffel Tower, yes.","Paris","France","48.9","2.4","Toby: Eiffel Tower, yes."
"W. S. H.","","","","","yes, Moscow (RDW).","Moscow","Russia","55.8","37.6","W. S. H.: yes, Moscow (RDW)."
"Eric","Birmingham","","","","details rather vague, Cadiz (EAJ3).","Cadiz","Spain","36.5","-6.3","Eric (Birmingham): details rather vague, Cadiz (EAJ3)."
"Straight 8","","","","","Cassel relaying Frankfort-on-Main.","Frankfurt","Germany","50.1","8.7","Straight 8: Cassel relaying Frankfort-on-Main."
"Up Late","Edinburgh","","","","probably KGO (Oakland).","Oakland","USA","37.8","-122.3","Up Late (Edinburgh): probably KGO (Oakland)."
"Fiddlesticks in Training","","","","","Prague.","Prague","Czech Republic","50.1","14.4","Fiddlesticks in Training: Prague."
"Treffynnon","","","","","Madrid (EAJ7) (Anderson’s).","Madrid","Spain","40.4","-3.7","Treffynnon: Madrid (EAJ7) (Anderson’s)."
"Bassoon","","","","","presumably 2XAF (Schenectady N.J.).","Schenectady","USA","42.8","-73.9","Bassoon: presumably 2XAF (Schenectady N.J.)."
"J.S.K.S.","","","","","probably Brussels.","Brussels","Belgium","50.8","4.3","J.S.K.S.: probably Brussels."
"W.R.P.","Newport","","","","cannot trace.","","","","","W.R.P. (Newport): cannot trace."
"Miffy","Thornaby","","","","San Sebastian.","San Sebastian","Spain","43.3","-1.9","Miffy (Thornaby): San Sebastian."
"Dorothy","","","","","Berne.","Bern","Switzerland","46.9","7.4","Dorothy: Berne."
"Triotron","Blackburn","","","","Vienna.","Vienna","Austria","48.2","16.4","Triotron (Blackburn): Vienna."
"Dinkie","Bolton","","","","Oslo.","Oslo","Norway","59.9","10.8","Dinkie (Bolton): Oslo."
"Ideal","St. Helens","","","","(a) too vague.","","","","","Ideal (St. Helens): (a) too vague, (b) Hamburg."
"Ideal","St. Helens","","","","(b) Hamburg.","Hamburg","Germany","53.5","10.0","Ideal (St. Helens): (a) too vague, (b) Hamburg."
"Weller","Eastbourne","","","","British amateur (Weybridge).","","","","","Weller (Eastbourne): British amateur (Weybridge)."
"Laurelbank","Patcham","","","","(16/1) cannot trace on that wave band if a.m.","","","","","Laurelbank (Patcham): (16/1) cannot trace on that wave band if a.m. (15/1) if p.m. Barcelona (EAJ13)."
"Laurelbank","Patcham","","","","(15/1) if p.m. Barcelona (EAJ13).","Barcelona","Spain","41.4","2.2","Laurelbank (Patcham): (16/1) cannot trace on that wave band if a.m. (15/1) if p.m. Barcelona (EAJ13)."
"I.X.L.","","","","","probably WGY (Schenectady).","Schenectady","USA","42.8","-73.9","I.X.L.: probably WGY (Schenectady)."
"Coachman","","","","","Prague.","Prague","Czech Republic","50.1","14.4","Coachman: Prague."
"N.E.T.","Loughton","","","","Cannot trace on that W.L.","","","","","N.E.T. (Loughton): Cannot trace on that W.L."
"Happy","Huddersfield","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Happy (Huddersfield): Madrid (EAJ7)."
"R.I.P.","","","","","Berlin (1300 m.) probably San Sebastian.","San Sebastian","Spain","43.3","-1.9","R.I.P.: Berlin (1300 m.) probably San Sebastian."
"Acid","Berwick-on-Tweed","","","","Rome.","Rome","Italy","41.9","12.5","Acid (Berwick-on-Tweed): Rome."
"Dicky","Highgate","","","","Prague or Madrid (EAJ7).","Prague","Czech Republic","50.1","14.4","Dicky (Highgate): Prague or Madrid (EAJ7)."
"X.V.X.","","","","","cannot trace.","","","","","X.V.X.: cannot trace."
"Blackpool","","","","","San Sebastian.","San Sebastian","Spain","43.3","-1.9","Blackpool: San Sebastian."
"Sunny Jim","Barnet","","","","Prague.","Prague","Czech Republic","50.1","14.4","Sunny Jim (Barnet): Prague."
"Ether","Gillingham","","","","Prague.","Prague","Czech Republic","50.1","14.4","Ether (Gillingham): Prague."
"P.Q.D.","","","","","surely Hamburg (329 m.).","Hamburg","Germany","53.5","10.0","P.Q.D.: surely Hamburg (329 m.)."
"Valve","Folkestone","","","","Berlin.","Berlin","Germany","52.5","13.4","Valve (Folkestone): Berlin."
"E.M.P.","","","","","(1) Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","E.M.P.: (1) Madrid (EAJ7), (2–3) not yet obtainable."
"E.M.P.","","","","","(2–3) not yet obtainable.","","","","","E.M.P.: (1) Madrid (EAJ7), (2–3) not yet obtainable."
"Twinkle","Glasgow","","","","Probably Gothenburg or Prague.","Prague","Czech Republic","50.1","14.4","Twinkle (Glasgow): Probably Gothenburg or Prague."
"Syndicate","Glasgow","","","","Probably Gothenburg or Prague.","Prague","Czech Republic","50.1","14.4","Syndicate (Glasgow): Probably Gothenburg or Prague."
"Straight Five","Birmingham","","","","(1) Not advertised; undoubtedly B.B.C. station.","","","","","Straight Five (Birmingham): (1) Not advertised; undoubtedly B.B.C. station; (2) W.L. wrong, presumably San Sebastian; (3) Seville (EAJ5); (4) most certainly Norddeich (weather report)."
"Straight Five","Birmingham","","","","(2) W.L. wrong, presumably San Sebastian.","San Sebastian","Spain","43.3","-1.9","Straight Five (Birmingham): (1) Not advertised; undoubtedly B.B.C. station; (2) W.L. wrong, presumably San Sebastian; (3) Seville (EAJ5); (4) most certainly Norddeich (weather report)."
"Straight Five","Birmingham","","","","(3) Seville (EAJ5).","Seville","Spain","37.4","-5.9","Straight Five (Birmingham): (1) Not advertised; undoubtedly B.B.C. station; (2) W.L. wrong, presumably San Sebastian; (3) Seville (EAJ5); (4) most certainly Norddeich (weather report)."
"Straight Five","Birmingham","","","","(4) most certainly Norddeich (weather report).","Norddeich","Germany","53.6","7.2","Straight Five (Birmingham): (1) Not advertised; undoubtedly B.B.C. station; (2) W.L. wrong, presumably San Sebastian; (3) Seville (EAJ5); (4) most certainly Norddeich (weather report)."
"Kew","Dewsbury","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Kew (Dewsbury): Madrid (EAJ7). Jan. 17) Hamburg."
"Kew","Dewsbury","","","","Jan. 17) Hamburg.","Hamburg","Germany","53.5","10.0","Kew (Dewsbury): Madrid (EAJ7). Jan. 17) Hamburg."
"2 Valves","West Smethwick","","","","(Piano solo) details too vague.","","","","","2 Valves (West Smethwick): (Piano solo) details too vague; Prague or Madrid (EAJ7); (faint music) rather too vague."
"2 Valves","West Smethwick","","","","Prague or Madrid (EAJ7).","Prague","Czech Republic","50.1","14.4","2 Valves (West Smethwick): (Piano solo) details too vague; Prague or Madrid (EAJ7); (faint music) rather too vague."
"2 Valves","West Smethwick","","","","(faint music) rather too vague.","","","","","2 Valves (West Smethwick): (Piano solo) details too vague; Prague or Madrid (EAJ7); (faint music) rather too vague."
"Polly Holly","Belfast","","","","Probably KDKA (East Pittsburg) 309 m.","Pittsburgh","USA","40.4","-79.9","Polly Holly (Belfast): Probably KDKA (East Pittsburg) 309 m."
"Hypo","Penryn","","","","Madrid (EAJ4).","Madrid","Spain","40.4","-3.7","Hypo (Penryn): Madrid (EAJ4)."
"E.U.","Boreham Wood","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","E.U. (Boreham Wood): Madrid (EAJ7)."
"Peaca","Barnoldswick","","","","Barcelona (EAJ13).","Barcelona","Spain","41.4","2.2","Peaca (Barnoldswick): Barcelona (EAJ13)."
"Big Four","42BL Atherton","","","","Cadiz (no relay).","Cadiz","Spain","36.5","-6.3","Big Four (42BL Atherton): Cadiz (no relay)."
"One Valve","","","","","San Sebastian (EAJ8).","San Sebastian","Spain","43.3","-1.9","One Valve: San Sebastian (EAJ8). Hamburg."
"One Valve","","","","","Hamburg.","Hamburg","Germany","53.5","10.0","One Valve: San Sebastian (EAJ8). Hamburg."
"Hew/Mar","Lowestoft","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Hew/Mar (Lowestoft): Madrid (EAJ7)."
"Recipio (2nd)","","","","","If outside broadcast, could only be Barcelona (EAJ13).","Barcelona","Spain","41.4","2.2","Recipio (2nd): If outside broadcast, could only be Barcelona (EAJ13)."
"Croxtonian","Southport","","","","San Sebastian (EAJ8).","San Sebastian","Spain","43.3","-1.9","Croxtonian (Southport): San Sebastian (EAJ8)."
"Tired Tim","","","","","Not advertised; (b) a.m. or p.m.","","","","","Tired Tim: Not advertised; (b) a.m. or p.m.; Violet (Lowestoft): Hamburg."
"Violet","Lowestoft","","","","Hamburg.","Hamburg","Germany","53.5","10.0","Tired Tim: Not advertised; (b) a.m. or p.m.; Violet (Lowestoft): Hamburg."
"H.M.B.","Sheffield","","","","Cannot trace on that W.L.","","","","","H.M.B. (Sheffield): Cannot trace on that W.L."
"Four Valver","Basingstoke","","","","(a) Too vague.","","","","","Four Valver (Basingstoke): (a) Too vague; (b) San Sebastian; (c) Barcelona (EAJ13)."
"Four Valver","Basingstoke","","","","(b) San Sebastian.","San Sebastian","Spain","43.3","-1.9","Four Valver (Basingstoke): (a) Too vague; (b) San Sebastian; (c) Barcelona (EAJ13)."
"Four Valver","Basingstoke","","","","(c) Barcelona (EAJ13).","Barcelona","Spain","41.4","2.2","Four Valver (Basingstoke): (a) Too vague; (b) San Sebastian; (c) Barcelona (EAJ13)."
"Pom-Pom","Prestwich","","","","Relay of Stockholm.","Stockholm","Sweden","59.3","18.1","Pom-Pom (Prestwich): Relay of Stockholm."
"Venus","","","","","Cannot trace on that W.L.","","","","","Venus: Cannot trace on that W.L."
"Brighton","","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Brighton: Madrid (EAJ7)."
"Ailsa","Ayr","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Ailsa (Ayr): Madrid (EAJ7)."
"Brin Mosso","","","","","(a) Old) cannot trace.","","","","","Brin Mosso: (a) Old) cannot trace; (Austrian National Anthem (operator’s message)). Marie (Bolton): San Sebastian (EAJ8). Madrid (EAJ7)."
"Brin Mosso","","","","","(Austrian National Anthem (operator’s message)).","","","","","Brin Mosso: (a) Old) cannot trace; (Austrian National Anthem (operator’s message)). Marie (Bolton): San Sebastian (EAJ8). Madrid (EAJ7)."
"Marie","Bolton","","","","San Sebastian (EAJ8).","San Sebastian","Spain","43.3","-1.9","Brin Mosso: (a) Old) cannot trace; (Austrian National Anthem (operator’s message)). Marie (Bolton): San Sebastian (EAJ8). Madrid (EAJ7)."
"Marie","Bolton","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Brin Mosso: (a) Old) cannot trace; (Austrian National Anthem (operator’s message)). Marie (Bolton): San Sebastian (EAJ8). Madrid (EAJ7)."
"Cossor","Birmingham","","","","Berlin (Cabaret).","Berlin","Germany","52.5","13.4","Cossor (Birmingham): Berlin (Cabaret)."
"Phil","Northampton","","","","Presumably an amateur.","","","","","Phil (Northampton): Presumably an amateur."
"Ether Hunter","Honiton","","","","Prague (new station).","Prague","Czech Republic","50.1","14.4","Ether Hunter (Honiton): Prague (new station)."
"Andrew","W.5","","","","San Sebastian (EAJ8).","San Sebastian","Spain","43.3","-1.9","Andrew (W.5): San Sebastian (EAJ8)."
"Norman","Bolton","","","","Spinner.","","","","","Norman (Bolton): Spinner."
"DX06","Manchester","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","DX06 (Manchester): Madrid (EAJ7)."
"Farmer","","","","","Buda-Pesth.","Budapest","Hungary","47.5","19.0","Farmer: Buda-Pesth."
"Twin Valve","","","","","Münster (410 m).","Münster","Germany","51.9","7.6","Twin Valve: Münster (410 m)."
"Northey","","","","","(1) Berlin.","Berlin","Germany","52.5","13.4","Northey: (1) Berlin, (2) probably Bremen, (3) relay of Hamburg."
"Northey","","","","","(2) probably Bremen.","Bremen","Germany","53.1","8.8","Northey: (1) Berlin, (2) probably Bremen, (3) relay of Hamburg."
"Northey","","","","","(3) relay of Hamburg.","Hamburg","Germany","53.5","10.0","Northey: (1) Berlin, (2) probably Bremen, (3) relay of Hamburg."
"Yeadonite","","","","","Buda-Pesth.","Budapest","Hungary","47.5","19.0","Yeadonite: Buda-Pesth."
"Oiler","","","","","Hamburg.","Hamburg","Germany","53.5","10.0","Oiler: Hamburg."
"Ashdown","Rugby","","","","(a) Breslau.","Wrocław","Poland","51.1","17.0","Ashdown (Rugby): (a) Breslau, (b) Rome."
"Ashdown","Rugby","","","","(b) Rome.","Rome","Italy","41.9","12.5","Ashdown (Rugby): (a) Breslau, (b) Rome."
"Jocelyn","Belgium","","","","Berne.","Bern","Switzerland","46.9","7.4","Jocelyn (Belgium): Berne."
"Aycheff","","","","","Cannot trace on that W.L., but at that time Madrid (EAJ7), and Prague (368 m).","Madrid","Spain","40.4","-3.7","Aycheff: Cannot trace on that W.L., but at that time Madrid (EAJ7), and Prague (368 m)."
"Aycheff","","","","","Cannot trace on that W.L., but at that time Madrid (EAJ7), and Prague (368 m).","Prague","Czech Republic","50.1","14.4","Aycheff: Cannot trace on that W.L., but at that time Madrid (EAJ7), and Prague (368 m)."
"Nob","Little Ilford","","","","Prague.","Prague","Czech Republic","50.1","14.4","Nob (Little Ilford): Prague."
"Singvono","Swavesey","","","","Probably KDKA (309 m).","Pittsburgh","USA","40.4","-79.9","Singvono (Swavesey): Probably KDKA (309 m)."
"O.S.B.","Netherton","","","","Buda-Pesth.","Budapest","Hungary","47.5","19.0","O.S.B. (Netherton): Buda-Pesth."
"Cadley","Fulwood","","","","Koenigs-wusterhausen (German National Anthem).","Königs Wusterhausen","Germany","52.3","13.6","Cadley (Fulwood): Koenigs-wusterhausen (German National Anthem)."
"Edwards","Devon","","","","(a) Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Edwards (Devon): (a) Madrid (EAJ7) (b) Surely San Sebastian (EAJ8)."
"Edwards","Devon","","","","(b) Surely San Sebastian (EAJ8).","San Sebastian","Spain","43.3","-1.9","Edwards (Devon): (a) Madrid (EAJ7) (b) Surely San Sebastian (EAJ8)."
